Epoch,1000_users, 5000_users, 10000_users,  30000_users, 70000_users,138493_users,
0,3.8,3.8,3.8,3.8,3.8,3.8,
1,0.69,0.66,0.63,0.63,0.62,0.57,
2,0.62,0.57,0.56,0.54,0.51,0.47,
3,0.57,0.52,0.50,0.50,0.47,0.44,
4,0.52,0.50,0.44,0.48,0.43,0.39,
5,0.52,0.47,0.40,0.43,0.41,0.38,
6,0.52,0.47,0.38,0.41,0.38,0.37,
7,0.52,0.47,0.38,0.41,0.38,0.37,
8,0.52,0.47,0.38,0.41,0.37,0.38,
9,0.52,0.47,0.38,0.40,0.37,0.37,

